html_url,classification_types,plans_only,related_pr
https://github.com/ros/rosdistro/issues/44826,B.1,,PR#45035
https://github.com/ros/rosdistro/issues/44821,A.1,,PR#44918
https://github.com/ros/rosdistro/issues/43795,A.1,True,
https://github.com/ros/rosdistro/issues/42698,B.1,,PR#42740
https://github.com/ros/rosdistro/issues/41622,B.2,,PR#42561
https://github.com/ros/rosdistro/issues/40272,A.2,True,
https://github.com/ros/rosdistro/issues/39175,A.1,True,
https://github.com/ros/rosdistro/issues/36442,A.1,True,
https://github.com/ros/rosdistro/issues/36424,A.1,True,
https://github.com/ros/rosdistro/issues/34921,B.1,,PR#34978
https://github.com/ros/rosdistro/issues/34332,A.2,,PR#34443
https://github.com/ros/rosdistro/issues/31918,A.2,,PR#32380
https://github.com/ros/rosdistro/issues/31337,A.2,True,
https://github.com/ros/rosdistro/issues/30210,A.2,True,
https://github.com/ros/rosdistro/issues/28960,A.1,,PR#29176
https://github.com/ros/rosdistro/issues/28399,B.1,,PR#29035
https://github.com/ros/rosdistro/issues/26527,B.2,True,
https://github.com/ros/rosdistro/issues/26454,B.1,,PR#26642
https://github.com/ros/rosdistro/issues/26438,A.1,True,
https://github.com/ros/rosdistro/issues/25293,B.1,,PR#26487
https://github.com/ros/rosdistro/issues/22572,A.1,True,
https://github.com/ros/rosdistro/issues/21648,B.1,,PR#21649
https://github.com/ros/rosdistro/issues/21424,B.1,True,
https://github.com/ros/rosdistro/issues/21106,B.1,True,
https://github.com/ros/rosdistro/issues/20591,B.1,,PR#20738
https://github.com/ros/rosdistro/issues/20366,A.2,,PR#20474
https://github.com/ros/rosdistro/issues/19898,A.2,True,
https://github.com/ros/rosdistro/issues/19897,A.2,True,
https://github.com/ros/rosdistro/issues/19896,A.2,True,
https://github.com/ros/rosdistro/issues/19882,A.2,True,
https://github.com/ros/rosdistro/issues/19566,A.1,,PR#19567
https://github.com/ros/rosdistro/issues/19295,B.2,True,
https://github.com/ros/rosdistro/issues/18272,B.1,,PR#18305
https://github.com/ros/rosdistro/issues/18173,B.1,,PR#18843
https://github.com/ros/rosdistro/issues/18172,B.1,True,
https://github.com/ros/rosdistro/issues/15566,A.1,,PR#15567
https://github.com/ros/rosdistro/issues/15117,A.2,,PR#15117
https://github.com/ros/rosdistro/issues/15082,A.2,True,
https://github.com/ros/rosdistro/issues/11626,B.1,,PR#12866
https://github.com/ros/rosdistro/issues/10914,A.2,True,
https://github.com/ros/rosdistro/issues/10584,B.1,,PR#10586
https://github.com/ros/rosdistro/issues/9570,A.1,True,
https://github.com/ros/rosdistro/issues/9569,B.1,,PR#9571
https://github.com/ros/rosdistro/issues/6472,A.2,True,
https://github.com/ros/rosdistro/issues/5462,B.2,True,
https://github.com/ros/rosdistro/issues/5163,B.1,True,
https://github.com/ros/rosdistro/issues/4633,B.2,True,
https://github.com/ros/rosdistro/issues/852,A.2,,PR#854
