repo_name,repo_owner,title,html_url,comments_count,state,author,created_at,closed_at,labels
rosdistro,ros,Installation Kinetic on MacOS Sierra failed while building 'opencv3',https://github.com/ros/rosdistro/issues/13378,4,closed,aaramirezd,2016-12-09T20:02:14Z,2016-12-22T00:34:43Z,
rosdistro,ros,Installation indigo on OSX failed while building 'nodelet_tutorial_math',https://github.com/ros/rosdistro/issues/13333,24,closed,ejalaa12,2016-12-01T16:59:04Z,2017-08-19T09:41:36Z,
rosdistro,ros,MacOS Sierra - Incompatible OpenCV Version in Kinetic,https://github.com/ros/rosdistro/issues/13298,2,closed,igilitschenski,2016-11-25T09:19:57Z,2016-11-28T18:35:33Z,
rosdistro,ros,python-future not available on Debian Jessie,https://github.com/ros/rosdistro/issues/13199,0,closed,tfoote,2016-11-14T21:44:29Z,2016-11-15T08:34:24Z,
rosdistro,ros,MacOS Sierra - Missing dependency pycurl for urlgrabber,https://github.com/ros/rosdistro/issues/13104,4,closed,spaghetti-,2016-10-29T11:13:09Z,2017-08-14T22:57:51Z,
rosdistro,ros,Rule for zbar missing libffi?,https://github.com/ros/rosdistro/issues/12971,2,closed,chrisspen,2016-10-19T02:25:22Z,2017-01-25T01:50:25Z,
rosdistro,ros,Kinetic : apt-get installation of ros-kinetic-desktop-full throws openni / libpcl errors ,https://github.com/ros/rosdistro/issues/12950,1,closed,katanachan,2016-10-15T09:15:58Z,2016-10-15T17:49:19Z,
rosdistro,ros,ROS encryption,https://github.com/ros/rosdistro/issues/12899,1,closed,mat-l,2016-10-06T13:21:53Z,2016-10-06T17:41:35Z,
rosdistro,ros,rosdep init fails to download file under Ubuntu 16.04 Arm64 on Nvidia TX1 and TX2,https://github.com/ros/rosdistro/issues/12894,15,closed,marting87,2016-10-05T12:25:36Z,2016-10-07T06:05:52Z,
rosdistro,ros,prerelease.sh fails to clone ros_buildfarm,https://github.com/ros/rosdistro/issues/12824,8,closed,pirobot,2016-09-25T15:29:19Z,2016-09-26T21:59:33Z,
rosdistro,ros,ecl_* doc and source branches are invalid,https://github.com/ros/rosdistro/issues/12803,2,closed,tfoote,2016-09-22T20:25:40Z,2017-02-21T20:56:19Z,
rosdistro,ros,Literate_pr2 stack- Required.,https://github.com/ros/rosdistro/issues/12799,1,closed,Telpr2,2016-09-22T13:20:11Z,2016-09-22T15:53:33Z,
rosdistro,ros,"address ""stdlib.h: No such file or directory"" build error with gcc6",https://github.com/ros/rosdistro/issues/12783,1,closed,bulwahn,2016-09-21T12:04:19Z,2017-08-04T17:35:38Z,
rosdistro,ros,rosdep update fails on Neon (Ubuntu fork),https://github.com/ros/rosdistro/issues/12716,2,closed,breznak,2016-09-15T22:17:23Z,2016-09-15T23:00:58Z,
rosdistro,ros,Help needed to manage a major package reorg.,https://github.com/ros/rosdistro/issues/12528,7,closed,dustingooding,2016-08-29T17:50:25Z,2016-09-02T20:21:40Z,
rosdistro,ros,"Error: ""You are trying to set the trim sub directory to ros""",https://github.com/ros/rosdistro/issues/12472,1,closed,robotpilot,2016-08-24T01:50:18Z,2016-08-24T02:03:21Z,
rosdistro,ros,"""Could not resolve the rosdep key 'rosaria"" while integrating 2 packages in the build farm",https://github.com/ros/rosdistro/issues/12342,1,closed,amineHorseman,2016-08-12T06:22:37Z,2016-08-12T16:07:13Z,
rosdistro,ros,check for duplicate entries in rosdep files,https://github.com/ros/rosdistro/issues/12327,0,closed,dirk-thomas,2016-08-10T15:59:33Z,2017-04-03T22:00:51Z,
rosdistro,ros,libceres-dev missing cmake module,https://github.com/ros/rosdistro/issues/12105,8,closed,jackieokay,2016-07-08T16:17:01Z,2017-08-11T20:07:03Z,
rosdistro,ros,Enforce version numbers in rosdistro CI jobs follow best practices,https://github.com/ros/rosdistro/issues/11852,1,closed,tfoote,2016-06-15T23:48:22Z,2017-08-30T23:06:00Z,
rosdistro,ros,Fedora 24 and gazebo,https://github.com/ros/rosdistro/issues/11763,2,closed,MalcolmMielle,2016-06-06T15:36:05Z,2017-01-25T01:53:27Z,
rosdistro,ros,libglew-dev for Ubuntu 16.04 Xenial Xerus,https://github.com/ros/rosdistro/issues/11717,3,closed,nynyg,2016-06-02T08:04:10Z,2017-01-25T01:54:01Z,
rosdistro,ros,dev-libs/collada-dom and media-libs/collada-dom in gentoo,https://github.com/ros/rosdistro/issues/11687,9,closed,benkinooby,2016-05-31T19:29:07Z,2017-06-07T00:25:59Z,
rosdistro,ros,rosdep libftdipp-dev not resolving properly for Ubuntu 16.04,https://github.com/ros/rosdistro/issues/11626,4,closed,koenlek,2016-05-24T21:51:14Z,2017-06-08T22:34:09Z,
rosdistro,ros,libpcl-dev missing on Ubuntu armhf,https://github.com/ros/rosdistro/issues/11583,24,closed,tfoote,2016-05-20T18:58:19Z,2016-09-22T23:27:13Z,
rosdistro,ros,debian does not have an equivalent of linux-headers-generic,https://github.com/ros/rosdistro/issues/11567,2,closed,tfoote,2016-05-20T00:29:30Z,2020-09-01T21:13:21Z,
rosdistro,ros,Resolve Consistent Qt Versions on Kinetic,https://github.com/ros/rosdistro/issues/11488,13,closed,tfoote,2016-05-11T09:54:41Z,2017-06-08T22:49:40Z,
rosdistro,ros,OS X installation: ogre package is missing,https://github.com/ros/rosdistro/issues/11360,4,closed,tfabbri,2016-04-30T10:51:07Z,2017-01-27T21:52:03Z,
rosdistro,ros,ros-gbp organization permission audit,https://github.com/ros/rosdistro/issues/11151,1,closed,jackieokay,2016-04-18T18:18:56Z,2016-04-18T18:28:46Z,
rosdistro,ros,ros organization permissions audit,https://github.com/ros/rosdistro/issues/11150,4,closed,jackieokay,2016-04-18T18:18:16Z,2020-09-01T21:13:14Z,
rosdistro,ros,we need to backport colladadom for debian jessie,https://github.com/ros/rosdistro/issues/11137,3,closed,tfoote,2016-04-18T06:44:34Z,2016-05-06T00:02:39Z,
rosdistro,ros,Check if rosdep keys for system packages exist,https://github.com/ros/rosdistro/issues/11050,1,closed,jackieokay,2016-04-11T21:29:53Z,2016-04-12T21:43:34Z,
rosdistro,ros,Missing packages for Kinetic in Debian Jessie,https://github.com/ros/rosdistro/issues/11020,9,closed,jackieokay,2016-04-07T19:14:43Z,2017-08-04T17:34:33Z,
rosdistro,ros,Assimp dep on OSX,https://github.com/ros/rosdistro/issues/10995,2,closed,juanvallejo,2016-04-04T20:46:53Z,2016-04-04T23:47:54Z,
