All Inconsistent Naming Entries
================================================================================

Total: 1331
Categories: affixation=1007, evolution=240, policy=526, unknown=0

ace | categories: affixation
ack-grep | categories: policy
apache2 | categories: evolution,policy
apache2-mpm-prefork | categories: policy
apt-transport-https | categories: policy
aravis-dev | categories: affixation
arduino-core | categories: affixation
armadillo | categories: affixation
asio | categories: affixation
assimp | categories: affixation
assimp-dev | categories: affixation
atlas | categories: affixation
autopoint | categories: affixation,policy
avahi-daemon | categories: affixation
avahi-utils | categories: affixation
awscli | categories: policy
bandit | categories: affixation
bazaar | categories: policy
benchmark | categories: affixation,policy
binutils | categories: affixation
black | categories: affixation
bluez | categories: affixation,evolution
box2d-dev | categories: affixation
bullet | categories: affixation
bullet-extras | categories: affixation
bzip2 | categories: affixation,policy
cargo | categories: policy
catch2 | categories: affixation,evolution
cdk | categories: evolution
cdk-dev | categories: affixation,evolution
cgal | categories: affixation
cgal-qt5-dev | categories: affixation,policy
chromedriver | categories: affixation,policy
chromium-browser | categories: policy
clang-tidy | categories: affixation,policy
clangd | categories: affixation,policy
cli11 | categories: affixation
cmake | categories: evolution
coinor-libcbc-dev | categories: policy
coinor-libcbc3 | categories: policy
coinor-libcgl-dev | categories: policy
coinor-libclp-dev | categories: policy
coinor-libcoinutils-dev | categories: policy
coinor-libipopt-dev | categories: policy
coinor-libosi-dev | categories: policy
collada-dom | categories: affixation,policy
cppad | categories: policy
cppunit | categories: affixation
crypto++ | categories: affixation,policy
curlpp-dev | categories: affixation
cwiid | categories: evolution
cwiid-dev | categories: affixation
cython3 | categories: affixation,evolution
devscripts | categories: policy
docker.io | categories: policy
dpkg-dev | categories: affixation
dvipng | categories: affixation,policy
eigen | categories: affixation,evolution
eigen2 | categories: affixation,policy
embree | categories: affixation
enblend | categories: policy
enet | categories: affixation
epydoc | categories: affixation
exfat-fuse | categories: policy
fluid | categories: affixation,evolution,policy
fmt | categories: affixation
freeimage | categories: affixation
freetype | categories: evolution
gazebo | categories: evolution
gazebo11 | categories: evolution
gazebo5 | categories: evolution
gazebo7 | categories: evolution
gcc-arm-none-eabi | categories: policy
gcc-avr | categories: policy
gccxml | categories: policy
gdal-bin | categories: affixation
geographiclib | categories: affixation,policy
geographiclib-tools | categories: affixation
geos | categories: affixation
gettext-base | categories: affixation
gfortran | categories: policy
git | categories: affixation
gitk | categories: policy
glc | categories: policy
glpk | categories: affixation
glslang-dev | categories: affixation
glslc | categories: policy
glut | categories: affixation,evolution
golang-go | categories: affixation,policy
google-mock | categories: affixation,policy
gpg-agent | categories: policy
gradle | categories: affixation
graphviz-dev | categories: affixation
gstreamer0.10-plugins-good | categories: policy
gstreamer0.10-pocketsphinx | categories: affixation,policy
gstreamer1.0-alsa | categories: evolution,policy
gstreamer1.0-gl | categories: policy
gstreamer1.0-libav | categories: evolution,policy
gstreamer1.0-plugins-bad | categories: evolution,policy
gstreamer1.0-plugins-ugly | categories: evolution,policy
gstreamer1.0-tools | categories: evolution,policy
gstreamer1.0-x | categories: evolution,policy
gtk-doc-tools | categories: affixation
gtk2 | categories: affixation,evolution,policy
gtk3 | categories: affixation,evolution,policy
gtk4 | categories: affixation,evolution
gunicorn | categories: affixation
hdf5 | categories: affixation
hdf5-tools | categories: affixation
hostname | categories: policy
hugin-tools | categories: affixation
ifstat | categories: policy
ignition-cmake2 | categories: evolution,policy
ignition-common3 | categories: policy
ignition-fuel-tools4 | categories: policy
ignition-math6 | categories: evolution,policy
ignition-math6-eigen3 | categories: policy
imagemagick | categories: affixation
intel-opencl-icd | categories: policy
iproute2 | categories: evolution
iputils-ping | categories: policy
ipython | categories: affixation
ipython3 | categories: evolution
jack | categories: evolution,policy
jasper | categories: affixation
java | categories: policy
joystick | categories: policy
jupyter-nbconvert | categories: affixation,policy
jupyter-notebook | categories: policy
language-pack-de | categories: policy
language-pack-en | categories: policy
lensfun | categories: evolution
lensfun-dev | categories: affixation
leveldb | categories: affixation
libabsl-dev | categories: affixation,policy
libadolc-dev | categories: affixation
libadwaita-dev | categories: affixation,evolution
libaio-dev | categories: affixation
libalglib-dev | categories: affixation
libann-dev | categories: affixation
libao-dev | categories: affixation
libapache2-mod-python | categories: policy
libargtable2-dev | categories: affixation,evolution
libasound2-dev | categories: policy
libatomic | categories: affixation,evolution,policy
libav | categories: policy
libavahi-client-dev | categories: affixation
libavahi-core-dev | categories: affixation
libavdevice-dev | categories: policy
libb64-dev | categories: affixation
libbackward-cpp-dev | categories: affixation
libbdd-dev | categories: policy
libbison-dev | categories: affixation
libblas-dev | categories: affixation,policy
libblosc-dev | categories: affixation
libbluetooth | categories: affixation,evolution,policy
libbluetooth-dev | categories: affixation,evolution,policy
libboost-atomic | categories: affixation,evolution,policy
libboost-atomic-dev | categories: affixation,evolution,policy
libboost-chrono | categories: affixation,evolution,policy
libboost-chrono-dev | categories: affixation,evolution,policy
libboost-coroutine | categories: affixation,evolution,policy
libboost-coroutine-dev | categories: affixation,evolution,policy
libboost-date-time | categories: affixation,evolution,policy
libboost-date-time-dev | categories: affixation,evolution,policy
libboost-dev | categories: affixation
libboost-filesystem | categories: affixation,evolution,policy
libboost-filesystem-dev | categories: affixation,evolution,policy
libboost-iostreams | categories: affixation,evolution,policy
libboost-iostreams-dev | categories: affixation,evolution,policy
libboost-math | categories: affixation,evolution,policy
libboost-math-dev | categories: affixation,evolution,policy
libboost-program-options | categories: affixation,evolution,policy
libboost-program-options-dev | categories: affixation,evolution,policy
libboost-random | categories: affixation,evolution,policy
libboost-random-dev | categories: affixation,evolution,policy
libboost-regex | categories: affixation,evolution,policy
libboost-regex-dev | categories: affixation,evolution,policy
libboost-serialization | categories: affixation,evolution,policy
libboost-serialization-dev | categories: affixation,evolution,policy
libboost-system | categories: affixation,evolution,policy
libboost-system-dev | categories: affixation,evolution,policy
libboost-thread | categories: affixation,evolution,policy
libboost-thread-dev | categories: affixation,evolution,policy
libboost-timer | categories: affixation,evolution,policy
libboost-timer-dev | categories: affixation,evolution,policy
libbsd-dev | categories: affixation
libc++-dev | categories: affixation,evolution,policy
libcairo2-dev | categories: affixation,evolution
libcap-dev | categories: affixation
libcap-ng-dev | categories: affixation
libcap-ng0 | categories: evolution
libcap2 | categories: evolution
libcap2-bin | categories: evolution
libccd-dev | categories: affixation
libccid | categories: affixation,policy
libcdd-dev | categories: policy
libcegui-mk2-dev | categories: policy
libcereal-dev | categories: affixation
libcgroup-dev | categories: affixation
libclang-dev | categories: affixation
libcoin60-dev | categories: evolution
libcoin80-dev | categories: affixation,evolution
libconfig++-dev | categories: affixation,policy
libconfig-dev | categories: affixation,policy
libconsole-bridge-dev | categories: affixation,evolution
libcpp-httplib-dev | categories: affixation
libcpprest-dev | categories: affixation
libcunit-dev | categories: affixation,evolution
libcurl | categories: affixation,evolution
libcurl-dev | categories: affixation,policy
libcxxopts-dev | categories: affixation
libdbus-dev | categories: affixation,evolution
libdc1394-dev | categories: affixation,evolution
libdevil-dev | categories: affixation
libdlib-dev | categories: affixation
libdmtx-dev | categories: affixation
libdpkg-dev | categories: affixation
libdrm-dev | categories: affixation
libdw-dev | categories: affixation,policy
libdxflib-dev | categories: affixation
libedit | categories: evolution
libedit-dev | categories: affixation
libepoxy-dev | categories: affixation
libesd0-dev | categories: policy
libespeak-dev | categories: affixation
libespeak-ng1 | categories: evolution
libestools-dev | categories: policy
libev-dev | categories: affixation
libevdev-dev | categories: affixation
libevent-dev | categories: affixation
libexif | categories: evolution
libexif-dev | categories: affixation
libexiv2-dev | categories: affixation
libexpat1-dev | categories: affixation,evolution
libexpected-dev | categories: affixation,policy
libext2fs-dev | categories: affixation,policy
libfcl | categories: evolution
libfcl-dev | categories: affixation
libffi-dev | categories: affixation
libfl-dev | categories: affixation
libflac-dev | categories: affixation
libflann | categories: affixation,evolution
libflann-dev | categories: affixation
libflatbuffers-dev | categories: affixation
libfltk-dev | categories: affixation,evolution
libfontconfig1-dev | categories: affixation,evolution
libfreeimage | categories: evolution
libfreeimage-dev | categories: affixation
libfreenect-dev | categories: affixation
libfreetype-dev | categories: affixation,evolution
libfreetype6 | categories: evolution
libfreetype6-dev | categories: affixation,evolution
libftdi-dev | categories: affixation,evolution
libftdi1-dev | categories: affixation,evolution
libftdipp-dev | categories: policy
libftgl-dev | categories: affixation
libfyaml-dev | categories: affixation
libgazebo-dev | categories: affixation,evolution
libgazebo11-dev | categories: evolution
libgazebo5-dev | categories: evolution
libgazebo7-dev | categories: affixation,evolution
libgconf2 | categories: evolution,policy
libgdal-dev | categories: affixation
libgeographiclib-dev | categories: affixation
libgeos++-dev | categories: affixation,policy
libgeotiff-dev | categories: affixation
libgflags-dev | categories: affixation
libgfortran3 | categories: evolution,policy
libgif-dev | categories: affixation,policy
libgirepository-dev | categories: affixation,policy
libglew-dev | categories: affixation
libglfw3-dev | categories: affixation,evolution
libglib-dev | categories: affixation,evolution
libglm-dev | categories: affixation
libglui-dev | categories: affixation
libglw1-mesa | categories: policy
libgmock-dev | categories: affixation,policy
libgmp | categories: affixation
libgnutls28-dev | categories: affixation,evolution
libgomp1 | categories: affixation,policy
libgoogle-glog-dev | categories: affixation,policy
libgpgme-dev | categories: affixation
libgphoto-dev | categories: affixation
libgpiod-dev | categories: affixation
libgps | categories: affixation,policy
libgrpc | categories: affixation,policy
libgsl | categories: affixation
libgstreamer-plugins-bad1.0-dev | categories: policy
libgstreamer-plugins-base0.10-0 | categories: policy
libgstreamer-plugins-base0.10-dev | categories: policy
libgstreamer-plugins-base1.0-dev | categories: evolution,policy
libgstreamer0.10-0 | categories: policy
libgstreamer0.10-dev | categories: policy
libgstreamer1.0-dev | categories: affixation,evolution,policy
libgstrtspserver-1.0-0 | categories: policy
libgstrtspserver-1.0-dev | categories: policy
libgtkmm | categories: evolution
libgtkmm3.0-dev | categories: affixation,evolution,policy
libgts | categories: affixation
libhal-dev | categories: affixation
libhdf5-dev | categories: affixation
libhidapi-dev | categories: affixation
libi2c-dev | categories: affixation,policy
libicu-dev | categories: affixation
libignition-math6 | categories: policy
libiio-dev | categories: affixation
libimage-exiftool-perl | categories: affixation,policy
libirrlicht-dev | categories: affixation
libiw-dev | categories: affixation,policy
libjack-dev | categories: affixation,evolution,policy
libjackson-json-java | categories: policy
libjansson-dev | categories: affixation
libjpeg | categories: affixation,evolution,policy
libjson-glib | categories: affixation
libjson-java | categories: affixation
libjson0-dev | categories: affixation,policy
libjsoncpp | categories: evolution
libjsoncpp-dev | categories: affixation
libkdtree++-dev | categories: affixation
libkml-dev | categories: affixation
liblapack-dev | categories: affixation
liblapacke-dev | categories: affixation,policy
libleptonica-dev | categories: affixation
liblinear-dev | categories: affixation
liblinphone-dev | categories: affixation
liblmdb-dev | categories: affixation
liblttng-ctl-dev | categories: affixation,policy
liblttng-ust-dev | categories: affixation
liblz4 | categories: affixation,evolution
liblz4-dev | categories: affixation
liblzma-dev | categories: affixation,policy
libmagick | categories: affixation,policy
libmarble-dev | categories: affixation,policy
libmbedtls-dev | categories: affixation
libmicrohttpd | categories: affixation
