entry_name,platform1,platform2,jaccard_similarity,file_count1,file_count2,intersection,union
apt-transport-https,debian_bookworm,fedora_42,0.0,3,205,0,208
apt-transport-https,debian_bookworm,fedora_43,0.0,3,205,0,208
apt-transport-https,fedora_42,ubuntu_focal,0.0,205,3,0,208
apt-transport-https,fedora_42,ubuntu_jammy,0.0,205,3,0,208
apt-transport-https,fedora_42,ubuntu_noble,0.0,205,3,0,208
apt-transport-https,fedora_43,ubuntu_focal,0.0,205,3,0,208
apt-transport-https,fedora_43,ubuntu_jammy,0.0,205,3,0,208
apt-transport-https,fedora_43,ubuntu_noble,0.0,205,3,0,208
assimp,alpine_edge,debian_bookworm,0.0,1,98,0,99
assimp,alpine_edge,rhel_8,0.0,1,90,0,91
assimp,alpine_edge,rhel_9,0.0,1,94,0,95
assimp,alpine_edge,ubuntu_focal,0.0,1,91,0,92
assimp,alpine_edge,ubuntu_jammy,0.0,1,95,0,96
assimp,alpine_edge,ubuntu_noble,0.0,1,97,0,98
assimp,debian_bookworm,fedora_42,0.0,98,15,0,113
assimp,debian_bookworm,fedora_43,0.0,98,15,0,113
assimp,fedora_42,rhel_8,0.0,15,90,0,105
assimp,fedora_42,rhel_9,0.0,15,94,0,109
assimp,fedora_42,ubuntu_focal,0.0,15,91,0,106
assimp,fedora_42,ubuntu_jammy,0.0,15,95,0,110
assimp,fedora_42,ubuntu_noble,0.0,15,97,0,112
assimp,fedora_43,rhel_8,0.0,15,90,0,105
assimp,fedora_43,rhel_9,0.0,15,94,0,109
assimp,fedora_43,ubuntu_focal,0.0,15,91,0,106
assimp,fedora_43,ubuntu_jammy,0.0,15,95,0,110
assimp,fedora_43,ubuntu_noble,0.0,15,97,0,112
atlas,debian_bookworm,fedora_42,0.0,178,348,0,526
atlas,debian_bookworm,fedora_43,0.0,178,348,0,526
atlas,debian_bookworm,rhel_8,0.0,178,346,0,524
atlas,debian_bookworm,rhel_9,0.0,178,346,0,524
atlas,fedora_42,ubuntu_focal,0.0,348,177,0,525
atlas,fedora_42,ubuntu_jammy,0.0,348,177,0,525
atlas,fedora_42,ubuntu_noble,0.0,348,177,0,525
atlas,fedora_43,ubuntu_focal,0.0,348,177,0,525
atlas,fedora_43,ubuntu_jammy,0.0,348,177,0,525
atlas,fedora_43,ubuntu_noble,0.0,348,177,0,525
atlas,rhel_8,ubuntu_focal,0.0,346,177,0,523
atlas,rhel_8,ubuntu_jammy,0.0,346,177,0,523
atlas,rhel_8,ubuntu_noble,0.0,346,177,0,523
atlas,rhel_9,ubuntu_focal,0.0,346,177,0,523
atlas,rhel_9,ubuntu_jammy,0.0,346,177,0,523
atlas,rhel_9,ubuntu_noble,0.0,346,177,0,523
automake,arch,ubuntu_focal,0.0,125,124,0,249
automake,opensuse_15.2,ubuntu_focal,0.0,131,124,0,255
bandit,debian_bookworm,fedora_42,0.0,4,369,0,373
bandit,debian_bookworm,opensuse_15.2,0.0,4,201,0,205
bandit,fedora_42,ubuntu_focal,0.0,369,4,0,373
bandit,fedora_42,ubuntu_jammy,0.0,369,4,0,373
bandit,fedora_42,ubuntu_noble,0.0,369,4,0,373
bandit,opensuse_15.2,ubuntu_focal,0.0,201,4,0,205
bandit,opensuse_15.2,ubuntu_jammy,0.0,201,4,0,205
bandit,opensuse_15.2,ubuntu_noble,0.0,201,4,0,205
bazaar,arch,debian_bookworm,0.0,3066,3,0,3069
bazaar,arch,ubuntu_focal,0.0,3066,3,0,3069
bazaar,arch,ubuntu_jammy,0.0,3066,3,0,3069
bazaar,arch,ubuntu_noble,0.0,3066,3,0,3069
bazaar,debian_bookworm,opensuse_15.2,0.0,3,640,0,643
bazaar,opensuse_15.2,ubuntu_focal,0.0,640,3,0,643
bazaar,opensuse_15.2,ubuntu_jammy,0.0,640,3,0,643
bazaar,opensuse_15.2,ubuntu_noble,0.0,640,3,0,643
bluez,arch,fedora_42,0.0,20,7,0,27
bluez,arch,fedora_43,0.0,20,7,0,27
bluez,arch,rhel_8,0.0,20,11,0,31
bluez,arch,rhel_9,0.0,20,7,0,27
bluez,debian_bookworm,fedora_42,0.0,57,7,0,64
bluez,debian_bookworm,fedora_43,0.0,57,7,0,64
bluez,debian_bookworm,rhel_8,0.0,57,11,0,68
bluez,debian_bookworm,rhel_9,0.0,57,7,0,64
bluez,fedora_42,ubuntu_focal,0.0,7,56,0,63
bluez,fedora_42,ubuntu_jammy,0.0,7,55,0,62
bluez,fedora_42,ubuntu_noble,0.0,7,107,0,114
bluez,fedora_43,ubuntu_focal,0.0,7,56,0,63
bluez,fedora_43,ubuntu_jammy,0.0,7,55,0,62
bluez,fedora_43,ubuntu_noble,0.0,7,107,0,114
bluez,rhel_8,ubuntu_focal,0.0,11,56,0,67
bluez,rhel_8,ubuntu_jammy,0.0,11,55,0,66
bluez,rhel_8,ubuntu_noble,0.0,11,107,0,118
bluez,rhel_9,ubuntu_focal,0.0,7,56,0,63
bluez,rhel_9,ubuntu_jammy,0.0,7,55,0,62
bluez,rhel_9,ubuntu_noble,0.0,7,107,0,114
box2d-dev,arch,ubuntu_focal,0.0,13,56,0,69
box2d-dev,fedora_42,ubuntu_focal,0.0,91,56,0,147
box2d-dev,fedora_43,ubuntu_focal,0.0,91,56,0,147
ca-certificates,debian_bookworm,fedora_42,0.0,159,771,0,930
ca-certificates,debian_bookworm,fedora_43,0.0,159,763,0,922
ca-certificates,debian_bookworm,rhel_8,0.0,159,28,0,187
ca-certificates,debian_bookworm,rhel_9,0.0,159,504,0,663
ca-certificates,fedora_42,ubuntu_focal,0.0,771,145,0,916
ca-certificates,fedora_42,ubuntu_jammy,0.0,771,144,0,915
ca-certificates,fedora_42,ubuntu_noble,0.0,771,163,0,934
ca-certificates,fedora_43,ubuntu_focal,0.0,763,145,0,908
ca-certificates,fedora_43,ubuntu_jammy,0.0,763,144,0,907
ca-certificates,fedora_43,ubuntu_noble,0.0,763,163,0,926
ca-certificates,rhel_8,ubuntu_focal,0.0,28,145,0,173
ca-certificates,rhel_8,ubuntu_jammy,0.0,28,144,0,172
ca-certificates,rhel_8,ubuntu_noble,0.0,28,163,0,191
ca-certificates,rhel_9,ubuntu_focal,0.0,504,145,0,649
ca-certificates,rhel_9,ubuntu_jammy,0.0,504,144,0,648
ca-certificates,rhel_9,ubuntu_noble,0.0,504,163,0,667
cgal-qt5-dev,debian_bookworm,fedora_42,0.0,74,3663,0,3737
cgal-qt5-dev,debian_bookworm,fedora_43,0.0,74,3661,0,3735
cgal-qt5-dev,fedora_42,ubuntu_focal,0.0,3663,74,0,3737
cgal-qt5-dev,fedora_42,ubuntu_jammy,0.0,3663,74,0,3737
cgal-qt5-dev,fedora_42,ubuntu_noble,0.0,3663,74,0,3737
cgal-qt5-dev,fedora_43,ubuntu_focal,0.0,3661,74,0,3735
cgal-qt5-dev,fedora_43,ubuntu_jammy,0.0,3661,74,0,3735
cgal-qt5-dev,fedora_43,ubuntu_noble,0.0,3661,74,0,3735
chromium-browser,arch,ubuntu_focal,0.0,248,13,0,261
chromium-browser,arch,ubuntu_jammy,0.0,248,13,0,261
chromium-browser,arch,ubuntu_noble,0.0,248,13,0,261
chromium-browser,debian_bookworm,ubuntu_focal,0.0,28,13,0,41
chromium-browser,debian_bookworm,ubuntu_jammy,0.0,28,13,0,41
chromium-browser,debian_bookworm,ubuntu_noble,0.0,28,13,0,41
clang-tidy,alpine_edge,opensuse_15.2,0.0,57,1,0,58
clang-tidy,arch,opensuse_15.2,0.0,2524,1,0,2525
clang-tidy,debian_bookworm,opensuse_15.2,0.0,7,1,0,8
clang-tidy,fedora_42,opensuse_15.2,0.0,202,1,0,203
clang-tidy,fedora_43,opensuse_15.2,0.0,204,1,0,205
clang-tidy,opensuse_15.2,rhel_8,0.0,1,379,0,380
clang-tidy,opensuse_15.2,rhel_9,0.0,1,202,0,203
clang-tidy,opensuse_15.2,ubuntu_focal,0.0,1,7,0,8
clang-tidy,opensuse_15.2,ubuntu_jammy,0.0,1,8,0,9
clang-tidy,opensuse_15.2,ubuntu_noble,0.0,1,7,0,8
clangd,alpine_edge,opensuse_15.2,0.0,57,1,0,58
clangd,arch,opensuse_15.2,0.0,2524,1,0,2525
clangd,debian_bookworm,opensuse_15.2,0.0,4,1,0,5
clangd,fedora_42,opensuse_15.2,0.0,202,1,0,203
clangd,fedora_43,opensuse_15.2,0.0,204,1,0,205
clangd,opensuse_15.2,rhel_8,0.0,1,379,0,380
clangd,opensuse_15.2,rhel_9,0.0,1,202,0,203
clangd,opensuse_15.2,ubuntu_focal,0.0,1,5,0,6
clangd,opensuse_15.2,ubuntu_jammy,0.0,1,5,0,6
clangd,opensuse_15.2,ubuntu_noble,0.0,1,4,0,5
cmake,alpine_edge,opensuse_15.2,0.0,3997,1,0,3998
cmake,arch,opensuse_15.2,0.0,6298,1,0,6299
cmake,debian_bookworm,opensuse_15.2,0.0,12,1,0,13
cmake,fedora_42,opensuse_15.2,0.0,53,1,0,54
cmake,fedora_43,opensuse_15.2,0.0,53,1,0,54
cmake,opensuse_15.2,ubuntu_focal,0.0,1,13,0,14
cmake,opensuse_15.2,ubuntu_jammy,0.0,1,14,0,15
cmake,opensuse_15.2,ubuntu_noble,0.0,1,12,0,13
collada-dom,fedora_42,ubuntu_jammy,0.0,466,2,0,468
collada-dom,fedora_42,ubuntu_noble,0.0,466,2,0,468
collada-dom,fedora_43,ubuntu_jammy,0.0,466,2,0,468
collada-dom,fedora_43,ubuntu_noble,0.0,466,2,0,468
collectd,debian_bookworm,fedora_42,0.0,8,164,0,172
collectd,debian_bookworm,fedora_43,0.0,8,164,0,172
collectd,fedora_42,ubuntu_focal,0.0,164,10,0,174
