timestamp,pr_url,pr_number,pr_title,modified_keys,expected_types,actual_types,match_status,status,verified_types,verified_reasons
2026-01-28T06:09:02.666971,https://github.com/ros/rosdistro/pull/23993,23993,pyquaternion: 0.9.6-4 in 'kinetic/distribution.yaml' [bloom] replaces rosdep python-pyquaterion-pip,"pyquaternion, python-pyquaternion-pip","A.1,B.2a","A.1,B.2a",exact_match,exact_match,,
2026-01-28T06:08:29.652251,https://github.com/ros/rosdistro/pull/28473,28473,Use apt packages for python-more-itertools,"python-more-itertools, python-more-itertools-pip, python3-more-itertools","A.1,B.2a","A.1,A.2,B.2a",match_with_extra,match_with_extra,"A.1,A.2,B.2",
2026-01-28T06:06:35.489126,https://github.com/ros/rosdistro/pull/33091,33091,Add in a rosdep key for python3-transforms3d.,"python-transforms3d-pip, python3-transforms3d","A.1,B.2a","A.1,A.2,B.2a",match_with_extra,match_with_extra,"A.1,A.2,B.2",
2026-01-28T06:04:33.468296,https://github.com/ros/rosdistro/pull/35326,35326,Add python3-graphviz to rosdep/python.yaml,"python3-graphviz, python3-pygraphviz","A.1,B.2a","A.1,B.1b,B.2a",match_with_extra,match_with_extra,"A.1,B.1,B.2",
2026-01-28T06:02:52.827447,https://github.com/ros/rosdistro/pull/36030,36030,rosdep: python3-catkin-sphinx: Add Buster APT version,python3-catkin-sphinx,B.2a,B.2a,exact_match,exact_match,,
2026-01-28T06:02:10.924132,https://github.com/ros/rosdistro/pull/36164,36164,Adding rosdep rule for python3-pymap3d,"pymap3d-pip, python3-pymap3d","A.1,B.2a","A.1,B.2a",exact_match,exact_match,,
2026-01-28T06:00:08.087768,https://github.com/ros/rosdistro/pull/41623,41623,Add in liboctomap-dev key.,"liboctomap-dev, octomap","A.1,B.2b","A.1,B.2b",exact_match,exact_match,,
2026-01-28T05:59:45.592967,https://github.com/ros/rosdistro/pull/42561,42561,Remove the octomap package from Rolling.,"dynamic-edt-3d, octomap, octovis",B.2b,B.2b,exact_match,exact_match,,
2026-01-28T05:01:41.593522,https://github.com/ros/rosdistro/pull/45588,45588,Added mcp sdk to python.yaml,python3-mcp-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T05:01:17.621102,https://github.com/ros/rosdistro/pull/45589,45589,Add awsiotclient package to python.yaml,python3-awsiotclient-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T05:00:59.772623,https://github.com/ros/rosdistro/pull/45591,45591,Added rtklib to base.yaml,rtklib,A.1,A.1,exact_match,exact_match,,
2026-01-28T05:00:35.171126,https://github.com/ros/rosdistro/pull/45621,45621,"Added Qt6 Core, Multimedia, Qml, Quick.","libqt6-core, libqt6-multimedia, libqt6-qml, libqt6-quick, qml6-module-qtquick, qt6-base-dev, qt6-declarative-dev, qt6-multimedia-dev",A.1,A.1,exact_match,exact_match,,
2026-01-28T05:00:17.985770,https://github.com/ros/rosdistro/pull/45653,45653,Added touchlab-comm-py rosdep,python3-touchlab-comm-py-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:59:53.619377,https://github.com/ros/rosdistro/pull/45659,45659,Add new gurumdds packages for Jammy and Noble.,"gurumdds-3.1, gurumdds-3.2",A.1,A.1,exact_match,exact_match,,
2026-01-28T04:59:36.204375,https://github.com/ros/rosdistro/pull/45660,45660,Add rosdep keys for rti-connext-dds-7.3.0 debs.,rti-connext-dds-7.3.0,A.2,"A.2,B.1b",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T04:56:36.306089,https://github.com/ros/rosdistro/pull/45694,45694,Added opengen to rosdep,python3-opengen-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:56:18.942628,https://github.com/ros/rosdistro/pull/45695,45695,Add qml6-module-qtqml-workerscript.,qml6-module-qtqml-workerscript,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:55:53.834297,https://github.com/ros/rosdistro/pull/45765,45765,Add key cbindgen,cbindgen,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:55:35.705411,https://github.com/ros/rosdistro/pull/45820,45820,add google-cloud-firestore to rosdep/python.yaml,python3-google-cloud-firestore-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:55:10.795873,https://github.com/ros/rosdistro/pull/45913,45913,Add python3-posix-ipc-pip rule,python3-posix-ipc,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:54:53.552936,https://github.com/ros/rosdistro/pull/45954,45954,Add 'taskflow' rosdep rule,libtaskflow-cpp-dev,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:54:29.066553,https://github.com/ros/rosdistro/pull/45980,45980,Add RHEL 9 rule for 'opende',opende,A.2,A.2,exact_match,exact_match,,
2026-01-28T04:53:35.251248,https://github.com/ros/rosdistro/pull/45981,45981,Add Fedora rule for 'iwyu',iwyu,A.2,A.2,exact_match,exact_match,,
2026-01-28T04:52:19.783604,https://github.com/ros/rosdistro/pull/45982,45982,Add Fedora rules for qt5-quick and qt5-qml,"libqt5-qml, libqt5-quick",A.2,A.2,exact_match,exact_match,,
2026-01-28T04:47:23.795001,https://github.com/ros/rosdistro/pull/45983,45983,Fix Fedora rule for 'rapidjson',rapidjson-dev,B.1,"A.2,B.1a",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T04:46:21.902973,https://github.com/ros/rosdistro/pull/45984,45984,Fix wxGTK package name for Fedora and RHEL,"wx-common, wxwidgets",B.1,"A.2,B.1a,B.1b",match_with_extra,match_with_extra,"A.2, B.1",
2026-01-28T04:43:28.189975,https://github.com/ros/rosdistro/pull/46201,46201,adding gersemi,python3-gersemi-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:43:04.525193,https://github.com/ros/rosdistro/pull/46296,46296,Add qt-material pip package,python3-qt-material-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:42:46.683322,https://github.com/ros/rosdistro/pull/46442,46442,Add PyQt6-WebEngine pip package,python3-pyqt6.qtwebengine,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:42:21.695802,https://github.com/ros/rosdistro/pull/46484,46484,remove 'libopen3d-dev' and 'python3-open3d' from Ubuntu noble,"libopen3d-dev, python3-open3d",B.1,B.1a,exact_match,exact_match,,
2026-01-28T04:39:00.350834,https://github.com/ros/rosdistro/pull/46493,46493,add python3-xlib,python3-xlib,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:38:42.975693,https://github.com/ros/rosdistro/pull/46592,46592,Sila2,python3-sila2-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:38:25.494606,https://github.com/ros/rosdistro/pull/46631,46631,Add faiss-cpu,python3-faiss,A.1,A.1,exact_match,exact_match,,
2026-01-28T17:40:12.393969,https://github.com/ros/rosdistro/pull/46633,46633,rosdep: nixos: Add python3-filelock package,python3-filelock,A.2,A.2,exact_match,exact_match,,
2026-01-28T04:37:41.698261,https://github.com/ros/rosdistro/pull/46651,46651,Added cxxopts.,libcxxopts-dev,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:37:16.219548,https://github.com/ros/rosdistro/pull/46660,46660,Add libfcpp-dev,libfccp-dev,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:36:58.824908,https://github.com/ros/rosdistro/pull/46675,46675,add gtk4/adw dependencies,"adwaita-icon-theme, gtk4, libadwaita-dev, libgirepository-dev",A.1,A.1,exact_match,exact_match,,
2026-01-28T04:36:33.803786,https://github.com/ros/rosdistro/pull/46701,46701,add librocksdb-dev in 'rosdep/base.yml',librocksdb-dev,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:36:16.800072,https://github.com/ros/rosdistro/pull/46723,46723,Add 'python3-toml' rule for RHEL,python3-toml,A.2,A.2,exact_match,exact_match,,
2026-01-28T04:35:53.238743,https://github.com/ros/rosdistro/pull/46764,46764,Add ifm3dpy to rosdep database,python3-ifm3dpy-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:35:34.910978,https://github.com/ros/rosdistro/pull/46833,46833,Add `reduct-py` pip index,python3-reduct-py-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:35:10.580321,https://github.com/ros/rosdistro/pull/46855,46855,Add rowan pip,python3-rowan-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:34:53.473932,https://github.com/ros/rosdistro/pull/46859,46859,Add mujoco,python3-mujoco-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:34:28.348446,https://github.com/ros/rosdistro/pull/46860,46860,Add python3-obj2mjcf-pip,python3-obj2mjcf-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:34:11.203783,https://github.com/ros/rosdistro/pull/46866,46866,"add rsyslog to rhel, gentoo, alpine, macports and opensuse.",rsyslog,A.2,A.2,exact_match,exact_match,,
2026-01-28T04:32:46.655094,https://github.com/ros/rosdistro/pull/46970,46970,add libflac-dev (again),libflac-dev,A.1,A.1,exact_match,exact_match,,
