pr_url,pr_number,pr_title,created_at,closed_at,modified_keys,classification_types
https://github.com/ros/rosdistro/pull/23993,23993,pyquaternion: 0.9.6-4 in 'kinetic/distribution.yaml' [bloom] replaces rosdep python-pyquaterion-pip,2020-03-07T00:20:20Z,2020-03-12T21:36:05Z,python-pyquaternion-pip,"A.1,B.2a"
https://github.com/ros/rosdistro/pull/28473,28473,Use apt packages for python-more-itertools,2021-03-04T07:34:50Z,2021-03-23T22:49:22Z,"python-more-itertools, python-more-itertools-pip, python3-more-itertools","A.1,B.2a"
https://github.com/ros/rosdistro/pull/33091,33091,Add in a rosdep key for python3-transforms3d.,2022-05-06T13:11:15Z,2022-05-17T17:49:19Z,"python-transforms3d-pip, python3-transforms3d","A.1,B.2a"
https://github.com/ros/rosdistro/pull/35326,35326,Add python3-graphviz to rosdep/python.yaml,2022-11-15T14:37:34Z,2022-11-16T17:44:23Z,"python3-graphviz, python3-pygraphviz","A.1,B.2a"
https://github.com/ros/rosdistro/pull/36030,36030,rosdep: python3-catkin-sphinx: Add Buster APT version,2023-02-02T01:02:14Z,2023-02-10T03:13:01Z,python3-catkin-sphinx,B.2a
https://github.com/ros/rosdistro/pull/36164,36164,Adding rosdep rule for python3-pymap3d,2023-02-14T15:37:42Z,2023-02-21T13:57:28Z,"pymap3d-pip, python3-pymap3d","A.1,B.2a"
https://github.com/ros/rosdistro/pull/41623,41623,Add in liboctomap-dev key.,2024-06-14T16:47:53Z,2024-06-24T15:11:46Z,liboctomap-dev,"A.1,B.2b"
https://github.com/ros/rosdistro/pull/42561,42561,Remove the octomap package from Rolling.,2024-08-23T14:30:13Z,2024-08-26T15:39:39Z,,B.2b
https://github.com/ros/rosdistro/pull/45588,45588,Added mcp sdk to python.yaml,2025-05-01T03:51:38Z,2025-05-06T14:25:23Z,python3-mcp-pip,A.1
https://github.com/ros/rosdistro/pull/45589,45589,Add awsiotclient package to python.yaml,2025-05-01T10:57:19Z,2025-05-06T14:23:25Z,python3-awsiotclient-pip,A.1
https://github.com/ros/rosdistro/pull/45591,45591,Added rtklib to base.yaml,2025-05-01T14:38:39Z,2025-05-04T15:37:12Z,rtklib,A.1
https://github.com/ros/rosdistro/pull/45621,45621,"Added Qt6 Core, Multimedia, Qml, Quick.",2025-05-05T09:10:47Z,2025-05-05T19:01:40Z,"libqt6-core, libqt6-multimedia, libqt6-qml, libqt6-quick, qml6-module-qtquick, qt6-base-dev, qt6-declarative-dev, qt6-multimedia-dev",A.1
https://github.com/ros/rosdistro/pull/45653,45653,Added touchlab-comm-py rosdep,2025-05-07T10:35:03Z,2025-05-07T17:26:28Z,python3-touchlab-comm-py-pip,A.1
https://github.com/ros/rosdistro/pull/45659,45659,Add new gurumdds packages for Jammy and Noble.,2025-05-08T18:31:32Z,2025-05-08T18:43:25Z,"gurumdds-3.1, gurumdds-3.2",A.1
https://github.com/ros/rosdistro/pull/45660,45660,Add rosdep keys for rti-connext-dds-7.3.0 debs.,2025-05-08T18:35:48Z,2025-05-08T18:43:02Z,rti-connext-dds-7.3.0,A.2
https://github.com/ros/rosdistro/pull/45694,45694,Added opengen to rosdep,2025-05-12T06:41:11Z,2025-05-16T15:55:17Z,python3-opengen-pip,A.1
https://github.com/ros/rosdistro/pull/45695,45695,Add qml6-module-qtqml-workerscript.,2025-05-12T07:40:52Z,2025-05-13T23:32:46Z,qml6-module-qtqml-workerscript,A.1
https://github.com/ros/rosdistro/pull/45765,45765,Add key cbindgen,2025-05-14T05:38:57Z,2025-05-21T21:20:04Z,cbindgen,A.1
https://github.com/ros/rosdistro/pull/45820,45820,add google-cloud-firestore to rosdep/python.yaml,2025-05-17T11:00:28Z,2025-05-23T16:43:26Z,python3-google-cloud-firestore-pip,A.1
https://github.com/ros/rosdistro/pull/45913,45913,Add python3-posix-ipc-pip rule,2025-05-21T10:58:09Z,2025-05-30T18:37:18Z,python3-posix-ipc,A.1
https://github.com/ros/rosdistro/pull/45954,45954,Add 'taskflow' rosdep rule,2025-05-22T10:02:29Z,2025-05-30T18:23:45Z,libtaskflow-cpp-dev,A.1
https://github.com/ros/rosdistro/pull/45980,45980,Add RHEL 9 rule for 'opende',2025-05-22T18:16:24Z,2025-05-30T18:27:11Z,opende,A.2
https://github.com/ros/rosdistro/pull/45981,45981,Add Fedora rule for 'iwyu',2025-05-22T18:43:37Z,2025-05-30T18:26:49Z,iwyu,A.2
https://github.com/ros/rosdistro/pull/45982,45982,Add Fedora rules for qt5-quick and qt5-qml,2025-05-22T19:24:36Z,2025-05-30T18:26:29Z,"libqt5-qml, libqt5-quick",A.2
https://github.com/ros/rosdistro/pull/45983,45983,Fix Fedora rule for 'rapidjson',2025-05-22T19:26:14Z,2025-05-30T18:26:08Z,rapidjson-dev,B.1
https://github.com/ros/rosdistro/pull/45984,45984,Fix wxGTK package name for Fedora and RHEL,2025-05-22T19:41:45Z,2025-05-30T18:25:32Z,"wx-common, wxwidgets",B.1
https://github.com/ros/rosdistro/pull/46201,46201,adding gersemi,2025-05-30T03:05:28Z,2025-07-14T16:15:36Z,python3-gersemi-pip,A.1
https://github.com/ros/rosdistro/pull/46296,46296,Add qt-material pip package,2025-06-03T18:08:07Z,2025-07-18T00:13:50Z,python3-qt-material-pip,A.1
https://github.com/ros/rosdistro/pull/46442,46442,Add PyQt6-WebEngine pip package,2025-06-12T03:00:09Z,2025-07-27T15:07:05Z,python3-pyqt6.qtwebengine,A.1
https://github.com/ros/rosdistro/pull/46484,46484,remove 'libopen3d-dev' and 'python3-open3d' from Ubuntu noble,2025-06-16T07:33:52Z,2025-06-21T06:15:42Z,"libopen3d-dev, python3-open3d",B.1
https://github.com/ros/rosdistro/pull/46493,46493,add python3-xlib,2025-06-16T18:42:55Z,2025-07-18T00:17:07Z,python3-xlib,A.1
https://github.com/ros/rosdistro/pull/46592,46592,Sila2,2025-06-23T08:42:12Z,2025-06-23T16:48:13Z,python3-sila2-pip,A.1
https://github.com/ros/rosdistro/pull/46631,46631,Add faiss-cpu,2025-06-24T10:03:38Z,2025-08-07T06:56:05Z,python3-faiss,A.1
https://github.com/ros/rosdistro/pull/46633,46633,rosdep: nixos: Add python3-filelock package,2025-06-25T03:40:24Z,2025-07-23T01:40:27Z,python3-filelock,A.2
https://github.com/ros/rosdistro/pull/46651,46651,Added cxxopts.,2025-06-26T12:31:33Z,2025-06-30T23:20:48Z,libcxxopts-dev,A.1
https://github.com/ros/rosdistro/pull/46660,46660,Add libfcpp-dev,2025-06-27T10:47:33Z,2025-07-23T01:42:57Z,libfccp-dev,A.1
