entry_key,type,entry,missing_type,platform,version,package_name,expected_package,detected_package,os_platform,os_version,os_package,current_manager,suggested_platform,suggested_version,suggested_package,description,status
ace,,ace,,,,,,,,,,,,,,,no_issues
ack,A.2,ack,platform,alpine,edge,,,,,,,,,,ack,Entry 'ack' missing version 'edge' for platform 'alpine'; suggested package: 'ack',ok
ack,A.2,ack,platform,opensuse,15.2,,,,,,,,,,ack,Entry 'ack' missing version '15.2' for platform 'opensuse'; suggested package: 'ack',ok
ack,B.1a,ack,,arch,,ack,,,,,,,,,,Package 'ack' not found in arch ,ok
ack-grep,A.2,ack-grep,platform,alpine,edge,,,,,,,,,,ack,Entry 'ack-grep' missing version 'edge' for platform 'alpine'; suggested package: 'ack',ok
ack-grep,A.2,ack-grep,platform,opensuse,15.2,,,,,,,,,,ack,Entry 'ack-grep' missing version '15.2' for platform 'opensuse'; suggested package: 'ack',ok
ack-grep,A.2,ack-grep,platform,rhel,8,,,,,,,,,,ack,Entry 'ack-grep' missing version '8' for platform 'rhel'; suggested package: 'ack',ok
ack-grep,A.2,ack-grep,platform,rhel,9,,,,,,,,,,ack,Entry 'ack-grep' missing version '9' for platform 'rhel'; suggested package: 'ack',ok
ack-grep,B.1a,ack-grep,,arch,,ack,,cpanminus,,,,,,,,Package 'ack' not found in arch ; detected existing package: 'cpanminus',ok
ack-grep,B.1a,ack-grep,,debian,bookworm,ack-grep,,ack,,,,,,,,Package 'ack-grep' not found in debian bookworm; detected existing package: 'ack',ok
ack-grep,B.1a,ack-grep,,debian,trixie,ack-grep,,ack,,,,,,,,Package 'ack-grep' not found in debian trixie; detected existing package: 'ack',ok
ack-grep,B.1a,ack-grep,,ubuntu,jammy,ack-grep,,ack,,,,,,,,Package 'ack-grep' not found in ubuntu jammy; detected existing package: 'ack',ok
ack-grep,B.1a,ack-grep,,ubuntu,noble,ack-grep,,ack,,,,,,,,Package 'ack-grep' not found in ubuntu noble; detected existing package: 'ack',ok
acl,A.2,acl,platform,alpine,edge,,,,,,,,,,acl,Entry 'acl' missing version 'edge' for platform 'alpine'; suggested package: 'acl',ok
acl,A.2,acl,platform,opensuse,15.2,,,,,,,,,,acl,Entry 'acl' missing version '15.2' for platform 'opensuse'; suggested package: 'acl',ok
acpi,A.2,acpi,platform,alpine,edge,,,,,,,,,,acpi,Entry 'acpi' missing version 'edge' for platform 'alpine'; suggested package: 'acpi',ok
acpi,A.2,acpi,platform,opensuse,15.2,,,,,,,,,,acpi,Entry 'acpi' missing version '15.2' for platform 'opensuse'; suggested package: 'acpi',ok
acpitool,A.2,acpitool,platform,ubuntu,jammy,,,,,,,,,,acpitool,Entry 'acpitool' missing version 'jammy' for platform 'ubuntu'; suggested package: 'acpitool',ok
acpitool,A.2,acpitool,platform,ubuntu,noble,,,,,,,,,,acpitool,Entry 'acpitool' missing version 'noble' for platform 'ubuntu'; suggested package: 'acpitool',ok
adafruit-ads1x15-pip,,adafruit-ads1x15-pip,,,,,,,,,,,,,,,no_issues
adafruit-gpio-pip,,adafruit-gpio-pip,,,,,,,,,,,,,,,no_issues
adafruit-mcp3008-pip,,adafruit-mcp3008-pip,,,,,,,,,,,,,,,no_issues
adafruit-pca9685-pip,,adafruit-pca9685-pip,,,,,,,,,,,,,,,no_issues
adwaita-icon-theme,A.2,adwaita-icon-theme,platform,alpine,edge,,,,,,,,,,adwaita-icon-theme,Entry 'adwaita-icon-theme' missing version 'edge' for platform 'alpine'; suggested package: 'adwaita-icon-theme',ok
adwaita-icon-theme,A.2,adwaita-icon-theme,platform,opensuse,15.2,,,,,,,,,,adwaita-icon-theme,Entry 'adwaita-icon-theme' missing version '15.2' for platform 'opensuse'; suggested package: 'adwaita-icon-theme',ok
adwaita-icon-theme,A.2,adwaita-icon-theme,platform,rhel,8,,,,,,,,,,adwaita-icon-theme,Entry 'adwaita-icon-theme' missing version '8' for platform 'rhel'; suggested package: 'adwaita-icon-theme',ok
adwaita-icon-theme,A.2,adwaita-icon-theme,platform,rhel,9,,,,,,,,,,adwaita-icon-theme,Entry 'adwaita-icon-theme' missing version '9' for platform 'rhel'; suggested package: 'adwaita-icon-theme',ok
alsa-oss,B.1a,alsa-oss,,debian,trixie,alsa-oss,,,,,,,,,,Package 'alsa-oss' not found in debian trixie,ok
alsa-utils,A.2,alsa-utils,platform,alpine,edge,,,,,,,,,,alsa-utils,Entry 'alsa-utils' missing version 'edge' for platform 'alpine'; suggested package: 'alsa-utils',ok
alsa-utils,B.1a,alsa-utils,,nixos,unstable,alsaUtils,,alsa-utils,,,,,,,,Package 'alsaUtils' not found in nixos unstable; detected existing package: 'alsa-utils',ok
ant,A.2,ant,platform,alpine,edge,,,,,,,,,,apache-ant,Entry 'ant' missing version 'edge' for platform 'alpine'; suggested package: 'apache-ant',ok
ant,A.2,ant,platform,opensuse,15.2,,,,,,,,,,ant,Entry 'ant' missing version '15.2' for platform 'opensuse'; suggested package: 'ant',ok
antlr,A.2,antlr,platform,alpine,edge,,,,,,,,,,libantlr4,Entry 'antlr' missing version 'edge' for platform 'alpine'; suggested package: 'libantlr4',ok
antlr,A.2,antlr,platform,opensuse,15.2,,,,,,,,,,antlr,Entry 'antlr' missing version '15.2' for platform 'opensuse'; suggested package: 'antlr',ok
antlr,A.2,antlr,platform,rhel,8,,,,,,,,,,antlr-C++,Entry 'antlr' missing version '8' for platform 'rhel'; suggested package: 'antlr-C++',ok
antlr,A.2,antlr,platform,rhel,9,,,,,,,,,,antlr-tool,Entry 'antlr' missing version '9' for platform 'rhel'; suggested package: 'antlr-tool',ok
antlr,B.1b,antlr,,arch,,antlr4,antlr4,,,,,,,,,Package 'antlr4' differs from expected 'antlr4' in arch ,ok
antlr,B.1b,antlr,,fedora,41,antlr3-C,antlr-tool,,,,,,,,,Package 'antlr3-C' differs from expected 'antlr-tool' in fedora 41,ok
antlr,B.1b,antlr,,fedora,42,antlr3-C,antlr-tool,,,,,,,,,Package 'antlr3-C' differs from expected 'antlr-tool' in fedora 42,ok
apache2,A.2,apache2,platform,alpine,edge,,,,,,,,,,apache2,Entry 'apache2' missing version 'edge' for platform 'alpine'; suggested package: 'apache2',ok
apache2,A.2,apache2,platform,arch,,,,,,,,,,,apache,Entry 'apache2' missing version '' for platform 'arch'; suggested package: 'apache',ok
apache2,A.2,apache2,platform,opensuse,15.2,,,,,,,,,,apache2,Entry 'apache2' missing version '15.2' for platform 'opensuse'; suggested package: 'apache2',ok
apache2,A.2,apache2,platform,rhel,8,,,,,,,,,,httpd,Entry 'apache2' missing version '8' for platform 'rhel'; suggested package: 'httpd',ok
apache2,A.2,apache2,platform,rhel,9,,,,,,,,,,httpd,Entry 'apache2' missing version '9' for platform 'rhel'; suggested package: 'httpd',ok
apache2-mpm-prefork,B.1a,apache2-mpm-prefork,,,,,,,,,,,,,,No distribution info found for entry 'apache2-mpm-prefork',ok
apparmor,A.2,apparmor,platform,alpine,edge,,,,,,,,,,apparmor-utils,Entry 'apparmor' missing version 'edge' for platform 'alpine'; suggested package: 'apparmor-utils',ok
apparmor,A.2,apparmor,platform,opensuse,15.2,,,,,,,,,,apparmor-parser,Entry 'apparmor' missing version '15.2' for platform 'opensuse'; suggested package: 'apparmor-parser',ok
apparmor,A.2,apparmor,platform,nixos,unstable,,,,,,,,,,apparmor-pam,Entry 'apparmor' missing version 'unstable' for platform 'nixos'; suggested package: 'apparmor-pam',ok
apr,B.1b,apr,,alpine,edge,apr,apr-dev,,,,,,,,,Package 'apr' differs from expected 'apr-dev' in alpine edge,ok
apr,B.1b,apr,,fedora,41,apr-devel,apr,,,,,,,,,Package 'apr-devel' differs from expected 'apr' in fedora 41,ok
apr,B.1b,apr,,fedora,42,apr-devel,apr-util-ldap,,,,,,,,,Package 'apr-devel' differs from expected 'apr-util-ldap' in fedora 42,ok
apr,B.1b,apr,,nixos,unstable,apr,aprutil,,,,,,,,,Package 'apr' differs from expected 'aprutil' in nixos unstable,ok
apr,B.1b,apr,,rhel,8,apr-devel,apr-util-devel,,,,,,,,,Package 'apr-devel' differs from expected 'apr-util-devel' in rhel 8,ok
apr,B.1b,apr,,rhel,9,apr-devel,apr-util-ldap,,,,,,,,,Package 'apr-devel' differs from expected 'apr-util-ldap' in rhel 9,ok
apt-transport-https,A.2,apt-transport-https,platform,alpine,edge,,,,,,,,,,apt-bash-completion,Entry 'apt-transport-https' missing version 'edge' for platform 'alpine'; suggested package: 'apt-bash-completion',ok
apt-transport-https,A.2,apt-transport-https,platform,arch,,,,,,,,,,,apt,Entry 'apt-transport-https' missing version '' for platform 'arch'; suggested package: 'apt',ok
apt-transport-https,A.2,apt-transport-https,platform,nixos,unstable,,,,,,,,,,apt,Entry 'apt-transport-https' missing version 'unstable' for platform 'nixos'; suggested package: 'apt',ok
apt-transport-https,A.2,apt-transport-https,platform,rhel,9,,,,,,,,,,apt-apidoc,Entry 'apt-transport-https' missing version '9' for platform 'rhel'; suggested package: 'apt-apidoc',ok
apt-transport-https,B.1b,apt-transport-https,,fedora,41,apt,apt-apidoc,,,,,,,,,Package 'apt' differs from expected 'apt-apidoc' in fedora 41,ok
apt-transport-https,B.1b,apt-transport-https,,fedora,42,apt,apt-apidoc,,,,,,,,,Package 'apt' differs from expected 'apt-apidoc' in fedora 42,ok
aravis,A.2,aravis,platform,alpine,edge,,,,,,,,,,aravis-viewer,Entry 'aravis' missing version 'edge' for platform 'alpine'; suggested package: 'aravis-viewer',ok
