key_name,type_name
cdk,A.2;B.1
cwiid,B.1
lib32asound2,B.1
libboost-chrono,B.1
libcurl,B.1
libglw1-mesa,B.1
libjsonrpccpp-client0,B.1
libjsonrpccpp-common0,B.1
libjsonrpccpp-server0,B.1
libmongoc-1.0-0,B.1
libmysql++3v5,A.2;B.1
libogre,B.1
libogre-1.12-dev,A.2
libpqxx,A.2
libqglviewer2-qt5,B.1
libqt5-concurrent,B.1
libqt5-core,B.1
libqt5-network,B.1
libqt5-opengl,B.1
libqt5-printsupport,B.1
libqt5-sql,A.2;B.1
libqt5-widgets,B.1
libqt5-xml,B.1
libqt6-core,B.1
libssh2,B.1
libttspico,B.1
protobuf,B.1
python3-flake8-black,B.2
python3-mongomock,B.2
python3-xmlschema,B.2
python3-fpdf2-pip,B.2
python3-anytree-pip,B.2
python-setuptools,B.2
python3-marshmallow-dataclass-pip,B.2
python3-openai-pip,B.2
python3-sense-hat-pip,B.2
python3-aio-pika-pip,B.2
python3-ansible-runner-pip,B.2
python3-backoff-pip,B.2
python3-fasteners-pip,B.2
python3-mapbox-earcut-pip,B.2
python3-padaos-pip,B.2
python3-spidev-pip,B.2
